Word	Timing	Adriana	Eliana	Silas	FOMA
tsasser	288.335				tsasɛʁ
les	289.19				lə
boquetins	289.22				bokɛtĩ
en	290.505				ɛ̃
atendent	291.26				atɛ̃dɛ̃
sont	292.175				sõ
des	293.07				də
dzentes	293.17				dzɛ̃tə
bihe	293.46				bjə
bitches	294.36				bit͡ʃə
et	295.18				ɛtː
pués	295.24				pye
sont	295.54				sõ
mouens	295.79				mwɛ̃
rapidos	296.01				ʁapido
pi	296.705				pi
comodos	297.01				komodo
a	297.48				a
terier	297.51				tɛʁjɛʁ
Lo	298.815				lo
Rei	299.74				ʁej
Vitor	299.87				vitoʁ
l	300.5				l
ére	300.53				eʁə
aterià	300.865				atɛʁià
surtot	301.63				syʁto
per	302.05				pɛʁ
la	302.15				la
Vassavarentse	302.24				vasavaʁɛ̃tsə
vas	303.185				va
saveir	303.55				savejʁ
pi	304.085				pi
sarvadze	304.37				saʁvadzə
se	305.425				sə
veit	305.86				vej
que	306.14				kə
se	306.17				sə
trouvave	306.2				tʁuvavə
miou	306.75				miu
An	307.275				ã
baga	307.79				baga
que	308.04				kə
lamave	308.07				lamavə
pâs	308.59				pa
l	309.005				l
érant	309.2				eʁã
les	309.46				lə
meulets	309.51				məlɛtː
asseu	310.335				asə
alave	311.39				alavə
todzor	312.09				todzoʁ
a	312.46				a
tseval	312.49				tsɛval
et	312.87				ɛtː
vouillet	313.47				vuʎɛtː
renque	314.45				ʁɛ̃kə
des	314.7				də
tsevals	314.89				tsɛval
alentor	315.23				alɛ̃toʁ
de	315.68				də
liu	315.71				ljy
A	316.19				a
propous	316.72				pʁopu
l	317.23				l
at	317.26				a
deut	317.34				də
Vitorien	317.48				vitoʁiɛ̃
conta	318.15				kõta
lei	318.58				lej
hala	318.84				ala
çala	318.96				sala
dis	319.09				di
ânos	319.37				ano
que	320.27				kə
mé	320.75				me
n	320.98				n
ei	321.01				ej
